part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
bedplate,01 Block,alu_cast,16,463.6,188.4,108.4
block_bank_l,01 Block,alu_cast,5,462.3,248.4,150.4
block_bank_r,01 Block,alu_cast,5,462.3,248.4,150.4
block_crankcase,01 Block,alu_cast,1,463.2,202.1,124.0
block_liners,01 Block,alu_cast,8,420.0,247.5,113.5
boost_reference_lines,01 Block,rubber_blk,10,290.4,385.2,232.6
fuel_hp_line,01 Block,alu_cast,1,127.6,82.9,80.9
hv_motor_h_0,01 Block,hv_orange,1,427.2,83.2,83.2
hv_motor_h_1,01 Block,hv_orange,1,139.2,23.2,80.6
hv_motor_h_connector_0,01 Block,hv_orange,2,15.0,23.0,38.5
hv_motor_h_connector_1,01 Block,hv_orange,2,15.0,23.0,38.5
hv_motor_k,01 Block,hv_orange,1,602.0,130.6,396.5
hv_motor_k_connector,01 Block,hv_orange,4,27.6,20.0,18.0
hv_store_1,01 Block,hv_orange,1,180.4,88.0,406.8
hv_store_2,01 Block,hv_orange,1,404.5,88.0,406.8
port_covers,01 Block,cover_red,6,718.7,238.8,148.0
sump,01 Block,magnesium,2,400.0,188.0,61.8
sump_baffles,01 Block,alu_forged,4,299.0,135.4,34.1
sump_drain,01 Block,steel_nitrided,1,26.0,26.0,13.0
windage_tray,01 Block,steel_nitrided,25,304.0,148.0,37.5
conrod_1,02 Bottom End,titanium,3,19.0,104.8,86.4
conrod_2,02 Bottom End,titanium,3,19.0,94.3,101.3
conrod_3,02 Bottom End,titanium,3,19.0,86.4,104.8
conrod_4,02 Bottom End,titanium,3,19.0,101.3,94.3
conrod_5,02 Bottom End,titanium,3,19.0,86.4,104.8
conrod_6,02 Bottom End,titanium,3,19.0,101.3,94.3
conrod_7,02 Bottom End,titanium,3,19.0,104.8,86.4
conrod_8,02 Bottom End,titanium,3,19.0,94.3,101.3
crank_damper,02 Bottom End,steel_nitrided,12,49.0,198.9,199.0
crank_trigger,02 Bottom End,steel_nitrided,61,10.0,89.2,144.1
crankshaft,02 Bottom End,steel_nitrided,20,614.0,124.0,124.0
gudgeon_pin_1,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_2,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_3,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_4,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_5,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_6,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_7,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
gudgeon_pin_8,02 Bottom End,steel_nitrided,1,26.0,19.0,19.0
main_cap_1,02 Bottom End,alu_forged,6,26.0,100.0,76.0
main_cap_2,02 Bottom End,alu_forged,6,26.0,100.0,76.0
main_cap_3,02 Bottom End,alu_forged,6,26.0,100.0,76.0
main_cap_4,02 Bottom End,alu_forged,6,26.0,100.0,76.0
main_cap_5,02 Bottom End,alu_forged,6,26.0,100.0,76.0
main_cap_bolts,02 Bottom End,titanium,20,439.0,107.0,80.0
main_shell_1_lower,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_1_upper,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_2_lower,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_2_upper,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_3_lower,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_3_upper,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_4_lower,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_4_upper,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_5_lower,02 Bottom End,copper_wound,2,12.2,62.5,30.4
main_shell_5_upper,02 Bottom End,copper_wound,2,12.2,62.5,30.4
piston_1,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_2,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_3,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_4,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_5,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_6,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_7,02 Bottom End,alu_forged,1,83.3,71.6,71.6
piston_8,02 Bottom End,alu_forged,1,83.3,71.6,71.6
ring_oil_1,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_2,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_3,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_4,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_5,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_6,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_7,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_oil_8,02 Bottom End,steel_nitrided,1,82.1,59.7,59.7
ring_second_1,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_2,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_3,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_4,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_5,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_6,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_7,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_second_8,02 Bottom End,steel_nitrided,1,82.3,59.4,59.4
ring_top_1,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_2,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_3,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_4,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_5,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_6,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_7,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
ring_top_8,02 Bottom End,steel_nitrided,1,82.5,59.4,59.4
rod_bolts,02 Bottom End,titanium,32,336.6,118.8,98.0
rod_cap_1,02 Bottom End,titanium,1,19.0,49.9,61.3
rod_cap_2,02 Bottom End,titanium,1,19.0,58.4,54.0
rod_cap_3,02 Bottom End,titanium,1,19.0,61.3,49.9
rod_cap_4,02 Bottom End,titanium,1,19.0,54.0,58.4
rod_cap_5,02 Bottom End,titanium,1,19.0,61.3,49.9
rod_cap_6,02 Bottom End,titanium,1,19.0,54.0,58.4
rod_cap_7,02 Bottom End,titanium,1,19.0,49.9,61.3
rod_cap_8,02 Bottom End,titanium,1,19.0,58.4,54.0
rod_shell_1_lower,02 Bottom End,copper_wound,2,17.0,40.8,50.4
rod_shell_1_upper,02 Bottom End,copper_wound,2,17.0,40.8,50.3
rod_shell_2_lower,02 Bottom End,copper_wound,2,17.0,47.8,44.2
rod_shell_2_upper,02 Bottom End,copper_wound,2,17.0,47.8,44.2
rod_shell_3_lower,02 Bottom End,copper_wound,2,17.0,50.3,40.8
rod_shell_3_upper,02 Bottom End,copper_wound,2,17.0,50.4,40.8
rod_shell_4_lower,02 Bottom End,copper_wound,2,17.0,44.2,47.8
rod_shell_4_upper,02 Bottom End,copper_wound,2,17.0,44.2,47.8
rod_shell_5_lower,02 Bottom End,copper_wound,2,17.0,50.3,40.8
rod_shell_5_upper,02 Bottom End,copper_wound,2,17.0,50.4,40.8
rod_shell_6_lower,02 Bottom End,copper_wound,2,17.0,44.2,47.8
rod_shell_6_upper,02 Bottom End,copper_wound,2,17.0,44.2,47.8
rod_shell_7_lower,02 Bottom End,copper_wound,2,17.0,40.8,50.4
rod_shell_7_upper,02 Bottom End,copper_wound,2,17.0,40.8,50.3
rod_shell_8_lower,02 Bottom End,copper_wound,2,17.0,47.8,44.2
rod_shell_8_upper,02 Bottom End,copper_wound,2,17.0,47.8,44.2
cam_caps,03 Heads and Valvetrain,alu_forged,16,332.7,457.5,106.1
cam_journals_l_ex,03 Heads and Valvetrain,steel_nitrided,4,313.7,30.0,30.0
cam_journals_l_in,03 Heads and Valvetrain,steel_nitrided,4,313.7,30.0,30.0
cam_journals_r_ex,03 Heads and Valvetrain,steel_nitrided,4,313.7,30.0,30.0
cam_journals_r_in,03 Heads and Valvetrain,steel_nitrided,4,313.7,30.0,30.0
cam_sensor_l,03 Heads and Valvetrain,anodised,10,39.0,61.3,77.0
cam_sensor_r,03 Heads and Valvetrain,anodised,10,39.0,61.3,77.0
camcover_bolts_l,03 Heads and Valvetrain,titanium,18,428.4,88.6,88.6
camcover_bolts_r,03 Heads and Valvetrain,titanium,18,428.4,88.6,88.6
camcover_l,03 Heads and Valvetrain,magnesium,1,442.0,94.0,94.0
camcover_r,03 Heads and Valvetrain,magnesium,1,442.0,94.0,94.0
camlobe_l_ex_1_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.3,27.0
camlobe_l_ex_1_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.3,27.0
camlobe_l_ex_3_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.3
camlobe_l_ex_3_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.3
camlobe_l_ex_5_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.3,32.8
camlobe_l_ex_5_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.3,32.8
camlobe_l_ex_7_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,32.8,36.3
camlobe_l_ex_7_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,32.8,36.3
camlobe_l_in_1_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.4
camlobe_l_in_1_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.4
camlobe_l_in_3_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.4,27.0
camlobe_l_in_3_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.4,27.0
camlobe_l_in_5_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.0,33.4
camlobe_l_in_5_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.0,33.4
